迴路編號,uid,館舍,分區編號
L_NCU_202690673,NCU_202690673,男三舍,NCU_Z1
L_NCU_202690841,NCU_202690841,國鼎光電大樓,NCU_Z1
L_NCU_202691135,NCU_202691135,科學四館,NCU_Z1
L_NCU_202691136,NCU_202691136,科學二館(理學院大樓),NCU_Z1
L_NCU_202691227,NCU_202691227,文學二館,NCU_Z1
L_NCU_202691228,NCU_202691228,文學一館,NCU_Z1
L_NCU_202805154,NCU_202805154,羽球館,NCU_Z1
L_NCU_202805379,NCU_202805379,iHouse享想空間,NCU_Z1
L_NCU_202805783,NCU_202805783,男九舍,NCU_Z1
L_NCU_202805788,NCU_202805788,女十四舍,NCU_Z1
L_NCU_202805967,NCU_202805967,中大會館,NCU_Z1
L_NCU_202805968,NCU_202805968,鴻經館,NCU_Z1
L_NCU_202805970,NCU_202805970,管理學院二館,NCU_Z1
L_NCU_202806028,NCU_202806028,綜教館(語言中心),NCU_Z1
L_NCU_202806291,NCU_202806291,體育器材室,NCU_Z1
L_NCU_202806571,NCU_202806571,第二行政中心,NCU_Z1
L_NCU_202806573,NCU_202806573,總圖書館,NCU_Z1
L_NCU_217833431,NCU_217833431,志希館,NCU_Z1
L_NCU_264560214,NCU_264560214,男13舍,NCU_Z1
L_NCU_268560615,NCU_268560615,地球科學院,NCU_Z1
L_NCU_268560616,NCU_268560616,地球科學院,NCU_Z1
L_NCU_268561417,NCU_268561417,男十一舍,NCU_Z1
L_NCU_268561418,NCU_268561418,志道樓,NCU_Z1
L_NCU_268561421,NCU_268561421,客家學院,NCU_Z1
L_NCU_268561932,NCU_268561932,土木品保中心,NCU_Z1
L_NCU_268561934,NCU_268561934,大型力學實驗室,NCU_Z1
L_NCU_268561936,NCU_268561936,松苑餐廳,NCU_Z1
L_NCU_268824430,NCU_268824430,男七舍,NCU_Z1
L_NCU_268824431,NCU_268824431,學生男七宿舍,NCU_Z1
L_NCU_268824432,NCU_268824432,男六舍,NCU_Z1
L_NCU_268824433,NCU_268824433,遊藝館,NCU_Z1
L_NCU_268824890,NCU_268824890,大講堂,NCU_Z1
L_NCU_268824891,NCU_268824891,高壓變電站,NCU_Z1
L_NCU_268824892,NCU_268824892,男十二舍,NCU_Z1
L_NCU_268840856,NCU_268840856,國際學生宿舍,NCU_Z1
L_NCU_268840857,NCU_268840857,男五舍,NCU_Z1
L_NCU_268840858,NCU_268840858,據德樓,NCU_Z1
L_NCU_268841451,NCU_268841451,工程一館,NCU_Z1
L_NCU_268841452,NCU_268841452,NCU-268841452,NCU_Z1
L_NCU_268841453,NCU_268841453,通訊系,NCU_Z1
L_NCU_268841454,NCU_268841454,電機系,NCU_Z1
L_NCU_268841455,NCU_268841455,資策會,NCU_Z1
L_NCU_268841456,NCU_268841456,依仁堂,NCU_Z1
L_NCU_268843079,NCU_268843079,女二舍,NCU_Z1
L_NCU_268843080,NCU_268843080,女四舍,NCU_Z1
L_NCU_268843081,NCU_268843081,女三舍,NCU_Z1
L_NCU_268843082,NCU_268843082,女一舍,NCU_Z1
L_NCU_268845976,NCU_268845976,人文社會科學大樓,NCU_Z1
L_NCU_268845987,NCU_268845987,NCU-268845987,NCU_Z1
L_NCU_268846328,NCU_268846328,科五館(S5),NCU_Z1
L_NCU_268846329,NCU_268846329,理學院教學館(普化實驗大樓),NCU_Z1
L_NCU_268846332,NCU_268846332,科三館,NCU_Z1
L_NCU_268846333,NCU_268846333,NCU-268846333,NCU_Z1
L_NCU_268851049,NCU_268851049,國鼎圖書資料館,NCU_Z1
L_NCU_268851920,NCU_268851920,實習一廠,NCU_Z1
L_NCU_268851921,NCU_268851921,NCU-268851921,NCU_Z1
L_NCU_268851922,NCU_268851922,NCU-268851922,NCU_Z1
L_NCU_268851923,NCU_268851923,NCU-268851923,NCU_Z1
L_NCU_268852724,NCU_268852724,NCU-268852724,NCU_Z1
L_NCU_268852725,NCU_268852725,NCU-268852725,NCU_Z1
L_NCU_268852726,NCU_268852726,NCU-268852726,NCU_Z1
L_NCU_268852727,NCU_268852727,NCU-268852727,NCU_Z1
L_NCU_268852728,NCU_268852728,NCU-268852728,NCU_Z1
L_NCU_268852729,NCU_268852729,NCU-268852729,NCU_Z1
L_NCU_268852730,NCU_268852730,NCU-268852730,NCU_Z1
L_NCU_268852731,NCU_268852731,NCU-268852731,NCU_Z1
L_NCU_268852732,NCU_268852732,NCU-268852732,NCU_Z1
L_NCU_269122190,NCU_269122190,NCU-269122190,NCU_Z1
L_NCU_269122194,NCU_269122194,NCU-269122194,NCU_Z1
L_NCU_269122195,NCU_269122195,NCU-269122195,NCU_Z1
L_NCU_269122196,NCU_269122196,NCU-269122196,NCU_Z1
L_NCU_269122197,NCU_269122197,NCU-269122197,NCU_Z1
L_NCU_269122198,NCU_269122198,NCU-269122198,NCU_Z1
L_NCU_269122199,NCU_269122199,NCU-269122199,NCU_Z1
L_NCU_269122200,NCU_269122200,NCU-269122200,NCU_Z1
L_NCU_269122201,NCU_269122201,NCU-269122201,NCU_Z1
L_NCU_269122202,NCU_269122202,NCU-269122202,NCU_Z1
L_NCU_269122203,NCU_269122203,NCU-269122203,NCU_Z1
L_NCU_269122204,NCU_269122204,NCU-269122204,NCU_Z1
L_NCU_269122205,NCU_269122205,NCU-269122205,NCU_Z1
L_NCU_269122545,NCU_269122545,單一舍,NCU_Z1
L_NCU_269122546,NCU_269122546,單二舍,NCU_Z1
L_NCU_269122547,NCU_269122547,松果館(育成中心),NCU_Z1
L_NCU_269122548,NCU_269122548,單四舍,NCU_Z1
L_NCU_269122549,NCU_269122549,NCU-269122549,NCU_Z1
L_NCU_269122550,NCU_269122550,NCU-269122550,NCU_Z1
L_NCU_269122551,NCU_269122551,NCU-269122551,NCU_Z1
L_NCU_269122609,NCU_269122609,NCU-269122609,NCU_Z1
L_NCU_269122610,NCU_269122610,NCU-269122610,NCU_Z1
L_NCU_269122611,NCU_269122611,NCU-269122611,NCU_Z1
L_NCU_270806669,NCU_270806669,行政大樓,NCU_Z1
L_NCU_270806670,NCU_270806670,車庫,NCU_Z1
L_NCU_270806671,NCU_270806671,資源回收及垃圾處理場,NCU_Z1
L_NCU_270954441,NCU_270954441,校長宿舍,NCU_Z1
L_NCU_566172504,NCU_566172504,打啵,NCU_Z1
L_NCU_678329043,NCU_678329043,中大幼稚園,NCU_Z1
L_NCU_996613836,NCU_996613836,教學研究綜合大樓,NCU_Z1
L_NCU_996613837,NCU_996613837,大禮堂,NCU_Z1
L_NCU_1041679633,NCU_1041679633,中大國民運動中心,NCU_Z1
L_NCU_1078713592,NCU_1078713592,NCU-1078713592,NCU_Z1
L_NCU_1309326913,NCU_1309326913,NCU-1309326913,NCU_Z1
L_NCU_1309326914,NCU_1309326914,NCU-1309326914,NCU_Z1
L_NCU_1309326915,NCU_1309326915,NCU-1309326915,NCU_Z1
L_NCU_1309326916,NCU_1309326916,NCU-1309326916,NCU_Z1
L_NCU_1309326917,NCU_1309326917,NCU-1309326917,NCU_Z1
L_NCU_1309326935,NCU_1309326935,NCU-1309326935,NCU_Z1
L_NCU_1309326936,NCU_1309326936,NCU-1309326936,NCU_Z1
L_NCU_1309326937,NCU_1309326937,NCU-1309326937,NCU_Z1
L_NCU_1309326938,NCU_1309326938,NCU-1309326938,NCU_Z1
L_NCU_1309326941,NCU_1309326941,NCU-1309326941,NCU_Z1
L_NCU_1309326942,NCU_1309326942,NCU-1309326942,NCU_Z1
L_NCU_1309326943,NCU_1309326943,NCU-1309326943,NCU_Z1
L_NCU_1309326944,NCU_1309326944,NCU-1309326944,NCU_Z1
L_NCU_1309326952,NCU_1309326952,NCU-1309326952,NCU_Z1
L_NCU_1309326953,NCU_1309326953,NCU-1309326953,NCU_Z1
L_NCU_1309326954,NCU_1309326954,NCU-1309326954,NCU_Z1
L_NCU_1309326955,NCU_1309326955,NCU-1309326955,NCU_Z1
L_NCU_1309326956,NCU_1309326956,NCU-1309326956,NCU_Z1
L_NCU_1309346996,NCU_1309346996,NCU-1309346996,NCU_Z1
L_NCU_1309346997,NCU_1309346997,NCU-1309346997,NCU_Z1
L_NCU_1309346998,NCU_1309346998,NCU-1309346998,NCU_Z1
L_NCU_1309347002,NCU_1309347002,NCU-1309347002,NCU_Z1
L_NCU_1309347005,NCU_1309347005,NCU-1309347005,NCU_Z1
L_NCU_1309347006,NCU_1309347006,NCU-1309347006,NCU_Z1
L_NCU_1309347007,NCU_1309347007,NCU-1309347007,NCU_Z1
L_NCU_1309347008,NCU_1309347008,NCU-1309347008,NCU_Z1
L_NCU_6576312,NCU_6576312,工程三館(機械館),NCU_Z1
L_NCU_8244873,NCU_8244873,曦望居,NCU_Z1
L_NCU_9000000001,NCU_9000000001,地下水1號水塔,NCU_Z1
L_NCU_9000000002,NCU_9000000002,地下水4號水塔,NCU_Z1
L_NCU_9000000004,NCU_9000000004,大氣環境實驗室,NCU_Z1
L_NCU_9000000005,NCU_9000000005,太空遙測中心,NCU_Z1
L_NCU_9000000006,NCU_9000000006,學生男六宿舍,NCU_Z1
