uid,address,addressE,area,footprint_m2,basement,code,doorplate,floor,floors,gid,name,nameE,num,year,buildId,buildType1C,buildType1E,buildType2C,buildType2E,tel,url,has_actual_kwh,annual_actual_kwh
NCU_202690673,320317 桃園市中壢區中大路300號,"No. 300, Zhongda Rd., Zhongli District, Taoyuan City 320317, Taiwan (R.O.C.)",601.2,601.2,0,,,1,1,202690673,男三舍,,,0,NCU_202690673,宿舍,Dormitories,,,,https://www.ncu.edu.tw,1,195720.0
NCU_202690841,320317 桃園市中壢區中大路300號,"No. 300, Zhongda Rd., Zhongli District, Taoyuan City 320317, Taiwan (R.O.C.)",12986.3,2597.3,0,,,5,5,202690841,國鼎光電大樓,,,0,NCU_202690841,學術單位,Academic Units,,,,https://www.ncu.edu.tw,1,2555238.0
NCU_202691135,320317 桃園市中壢區中大路300號,"No. 300, Zhongda Rd., Zhongli District, Taoyuan City 320317, Taiwan (R.O.C.)",20822.8,1735.2,0,,,12,12,202691135,科學四館,,,0,NCU_202691135,學術單位,Academic Units,,,,https://www.ncu.edu.tw,1,3616572.0
NCU_202691136,320317 桃園市中壢區中大路300號,"No. 300, Zhongda Rd., Zhongli District, Taoyuan City 320317, Taiwan (R.O.C.)",2703.5,901.2,0,,,3,3,202691136,科學二館(理學院大樓),,,0,NCU_202691136,學術單位,Academic Units,,,,https://www.ncu.edu.tw,1,2763611.0
NCU_202691227,320317 桃園市中壢區中大路300號,"No. 300, Zhongda Rd., Zhongli District, Taoyuan City 320317, Taiwan (R.O.C.)",2190.7,2190.7,0,,,1,1,202691227,文學二館,,,0,NCU_202691227,學術單位,Academic Units,,,,https://www.ncu.edu.tw,1,207365.0
NCU_202691228,320317 桃園市中壢區中大路300號,"No. 300, Zhongda Rd., Zhongli District, Taoyuan City 320317, Taiwan (R.O.C.)",3155.8,3155.8,0,,,1,1,202691228,文學一館,,,0,NCU_202691228,學術單位,Academic Units,,,,https://www.ncu.edu.tw,1,62743.0
NCU_202805154,320317 桃園市中壢區中大路300號,"No. 300, Zhongda Rd., Zhongli District, Taoyuan City 320317, Taiwan (R.O.C.)",4817.1,1605.7,0,,,3,3,202805154,羽球館,,,0,NCU_202805154,運動設施,Athletics,,,,https://www.ncu.edu.tw,0,0.0
NCU_202805379,320317 桃園市中壢區中大路300號,"No. 300, Zhongda Rd., Zhongli District, Taoyuan City 320317, Taiwan (R.O.C.)",877.7,877.7,0,,,1,1,202805379,iHouse享想空間,,,0,NCU_202805379,活動中心,Student AC,,,,https://www.ncu.edu.tw,1,120928.0
NCU_202805783,320317 桃園市中壢區中大路300號,"No. 300, Zhongda Rd., Zhongli District, Taoyuan City 320317, Taiwan (R.O.C.)",1680.8,1680.8,0,,,1,1,202805783,男九舍,,,0,NCU_202805783,宿舍,Dormitories,,,,https://www.ncu.edu.tw,1,404579.0
NCU_202805788,320317 桃園市中壢區中大路300號,"No. 300, Zhongda Rd., Zhongli District, Taoyuan City 320317, Taiwan (R.O.C.)",21865.3,2429.5,0,,,9,9,202805788,女十四舍,,,0,NCU_202805788,宿舍,Dormitories,,,,https://www.ncu.edu.tw,1,970389.0
NCU_202805967,320317 桃園市中壢區中大路300號,"No. 300, Zhongda Rd., Zhongli District, Taoyuan City 320317, Taiwan (R.O.C.)",1718.2,859.1,0,,,2,2,202805967,中大會館,,,0,NCU_202805967,宿舍,Dormitories,,,,https://www.ncu.edu.tw,1,740426.0
NCU_202805968,320317 桃園市中壢區中大路300號,"No. 300, Zhongda Rd., Zhongli District, Taoyuan City 320317, Taiwan (R.O.C.)",4963.7,1240.9,0,,,4,4,202805968,鴻經館,,,0,NCU_202805968,學術單位,Academic Units,,,,https://www.ncu.edu.tw,1,199696.0
NCU_202805970,320317 桃園市中壢區中大路300號,"No. 300, Zhongda Rd., Zhongli District, Taoyuan City 320317, Taiwan (R.O.C.)",24002.5,2666.9,0,,,9,9,202805970,管理學院二館,,,0,NCU_202805970,學術單位,Academic Units,,,,https://www.ncu.edu.tw,1,1039767.0
NCU_202806028,320317 桃園市中壢區中大路300號,"No. 300, Zhongda Rd., Zhongli District, Taoyuan City 320317, Taiwan (R.O.C.)",5673.3,1891.1,0,,,3,3,202806028,綜教館(語言中心),,,0,NCU_202806028,學術單位,Academic Units,,,,https://www.ncu.edu.tw,1,1019884.0
NCU_202806291,320317 桃園市中壢區中大路300號,"No. 300, Zhongda Rd., Zhongli District, Taoyuan City 320317, Taiwan (R.O.C.)",520.6,260.3,0,,,2,2,202806291,體育器材室,,,0,NCU_202806291,運動設施,Athletics,,,,https://www.ncu.edu.tw,0,0.0
NCU_202806571,320317 桃園市中壢區中大路300號,"No. 300, Zhongda Rd., Zhongli District, Taoyuan City 320317, Taiwan (R.O.C.)",3719.8,3719.8,0,,,1,1,202806571,第二行政中心,,,0,NCU_202806571,行政,Administration,,,,https://www.ncu.edu.tw,0,0.0
NCU_202806573,320317 桃園市中壢區中大路300號,"No. 300, Zhongda Rd., Zhongli District, Taoyuan City 320317, Taiwan (R.O.C.)",12675.0,1584.4,0,,,8,8,202806573,總圖書館,,,0,NCU_202806573,圖書館,Library,,,,https://www.ncu.edu.tw,1,689039.0
NCU_217833431,320317 桃園市中壢區中大路300號,"No. 300, Zhongda Rd., Zhongli District, Taoyuan City 320317, Taiwan (R.O.C.)",13568.2,1938.3,0,,,7,7,217833431,志希館,,,0,NCU_217833431,學術單位,Academic Units,,,,https://www.ncu.edu.tw,1,1876008.0
NCU_264560214,320317 桃園市中壢區中大路300號,"No. 300, Zhongda Rd., Zhongli District, Taoyuan City 320317, Taiwan (R.O.C.)",21631.2,2703.9,0,,,8,8,264560214,男13舍,,,0,NCU_264560214,宿舍,Dormitories,,,,https://www.ncu.edu.tw,1,305054.0
NCU_268560615,320317 桃園市中壢區中大路300號,"No. 300, Zhongda Rd., Zhongli District, Taoyuan City 320317, Taiwan (R.O.C.)",3433.5,1716.8,0,,,2,2,268560615,地球科學院,,,0,NCU_268560615,學術單位,Academic Units,,,,https://www.ncu.edu.tw,0,0.0
NCU_268560616,320317 桃園市中壢區中大路300號,"No. 300, Zhongda Rd., Zhongli District, Taoyuan City 320317, Taiwan (R.O.C.)",3152.9,1576.4,0,,,2,2,268560616,地球科學院,,,0,NCU_268560616,學術單位,Academic Units,,,,https://www.ncu.edu.tw,0,0.0
NCU_268561417,320317 桃園市中壢區中大路300號,"No. 300, Zhongda Rd., Zhongli District, Taoyuan City 320317, Taiwan (R.O.C.)",946.7,946.7,0,,,1,1,268561417,男十一舍,,,0,NCU_268561417,宿舍,Dormitories,,,,https://www.ncu.edu.tw,1,532538.0
