meter_name,uid,n_valid_hours,mean_kw,n_aligned,elasticnet_r_oof,elasticnet_r2_oof,elasticnet_rmse_oof,elasticnet_cvrmse_oof,histgbm_r_oof,histgbm_r2_oof,histgbm_rmse_oof,histgbm_cvrmse_oof,best_model,best_r2_oof,best_r_oof,best_cvrmse_oof
男三舍,NCU_202690673,7200,27.183,7200,,,,,,,,,(NCU stub — use NTU skeleton at runtime),,,
國鼎光電大樓,NCU_202690841,8640,295.745,8640,,,,,,,,,(NCU stub — use NTU skeleton at runtime),,,
科學四館,NCU_202691135,8640,418.585,8640,,,,,,,,,(NCU stub — use NTU skeleton at runtime),,,
科學二館(理學院大樓),NCU_202691136,17280,159.931,17280,,,,,,,,,(NCU stub — use NTU skeleton at runtime),,,
文學二館,NCU_202691227,7200,28.801,7200,,,,,,,,,(NCU stub — use NTU skeleton at runtime),,,
文學一館,NCU_202691228,5040,12.449,5040,,,,,,,,,(NCU stub — use NTU skeleton at runtime),,,
羽球館,NCU_202805154,0,0.0,0,,,,,,,,,(NCU stub — use NTU skeleton at runtime),,,
iHouse享想空間,NCU_202805379,8640,13.996,8640,,,,,,,,,(NCU stub — use NTU skeleton at runtime),,,
男九舍,NCU_202805783,8640,46.826,8640,,,,,,,,,(NCU stub — use NTU skeleton at runtime),,,
女十四舍,NCU_202805788,8640,112.314,8640,,,,,,,,,(NCU stub — use NTU skeleton at runtime),,,
中大會館,NCU_202805967,8640,85.697,8640,,,,,,,,,(NCU stub — use NTU skeleton at runtime),,,
鴻經館,NCU_202805968,4320,46.226,4320,,,,,,,,,(NCU stub — use NTU skeleton at runtime),,,
管理學院二館,NCU_202805970,8640,120.343,8640,,,,,,,,,(NCU stub — use NTU skeleton at runtime),,,
綜教館(語言中心),NCU_202806028,8640,118.042,8640,,,,,,,,,(NCU stub — use NTU skeleton at runtime),,,
體育器材室,NCU_202806291,0,0.0,0,,,,,,,,,(NCU stub — use NTU skeleton at runtime),,,
第二行政中心,NCU_202806571,0,0.0,0,,,,,,,,,(NCU stub — use NTU skeleton at runtime),,,
總圖書館,NCU_202806573,11520,59.812,11520,,,,,,,,,(NCU stub — use NTU skeleton at runtime),,,
志希館,NCU_217833431,8640,217.131,8640,,,,,,,,,(NCU stub — use NTU skeleton at runtime),,,
男13舍,NCU_264560214,6480,47.076,6480,,,,,,,,,(NCU stub — use NTU skeleton at runtime),,,
地球科學院,NCU_268560615,0,0.0,0,,,,,,,,,(NCU stub — use NTU skeleton at runtime),,,
地球科學院,NCU_268560616,0,0.0,0,,,,,,,,,(NCU stub — use NTU skeleton at runtime),,,
男十一舍,NCU_268561417,6480,82.182,6480,,,,,,,,,(NCU stub — use NTU skeleton at runtime),,,
志道樓,NCU_268561418,4320,10.574,4320,,,,,,,,,(NCU stub — use NTU skeleton at runtime),,,
客家學院,NCU_268561421,0,0.0,0,,,,,,,,,(NCU stub — use NTU skeleton at runtime),,,
土木品保中心,NCU_268561932,0,0.0,0,,,,,,,,,(NCU stub — use NTU skeleton at runtime),,,
大型力學實驗室,NCU_268561934,7920,0.914,7920,,,,,,,,,(NCU stub — use NTU skeleton at runtime),,,
松苑餐廳,NCU_268561936,6480,205.006,6480,,,,,,,,,(NCU stub — use NTU skeleton at runtime),,,
男七舍,NCU_268824430,0,0.0,0,,,,,,,,,(NCU stub — use NTU skeleton at runtime),,,
學生男七宿舍,NCU_268824431,6480,13.199,6480,,,,,,,,,(NCU stub — use NTU skeleton at runtime),,,
男六舍,NCU_268824432,2160,204.1,2160,,,,,,,,,(NCU stub — use NTU skeleton at runtime),,,
遊藝館,NCU_268824433,6480,3.895,6480,,,,,,,,,(NCU stub — use NTU skeleton at runtime),,,
大講堂,NCU_268824890,7200,18.769,7200,,,,,,,,,(NCU stub — use NTU skeleton at runtime),,,
高壓變電站,NCU_268824891,0,0.0,0,,,,,,,,,(NCU stub — use NTU skeleton at runtime),,,
男十二舍,NCU_268824892,4320,198.188,4320,,,,,,,,,(NCU stub — use NTU skeleton at runtime),,,
國際學生宿舍,NCU_268840856,6480,19.876,6480,,,,,,,,,(NCU stub — use NTU skeleton at runtime),,,
男五舍,NCU_268840857,8640,124.653,8640,,,,,,,,,(NCU stub — use NTU skeleton at runtime),,,
據德樓,NCU_268840858,6480,3.123,6480,,,,,,,,,(NCU stub — use NTU skeleton at runtime),,,
工程一館,NCU_268841451,7920,85.986,7920,,,,,,,,,(NCU stub — use NTU skeleton at runtime),,,
NCU-268841452,NCU_268841452,0,0.0,0,,,,,,,,,(NCU stub — use NTU skeleton at runtime),,,
通訊系,NCU_268841453,0,0.0,0,,,,,,,,,(NCU stub — use NTU skeleton at runtime),,,
