用途分類,建築代碼,建築物名稱,地圖緯度 (Lat),地圖經度 (Lon),竣工年份 (屋齡),總樓地板面積 (平方公尺),地上樓層數,地下樓層數
C波段氣象雷達 NCU C-POL 及游離層觀測天線陣列,R2,游離層天線區,24.97244,121.1959,,,,
dining,-,松苑餐廳,24.96709,121.19068,,,,
dining,餐飲設施,松果館(育成中心),24.96676,121.19079,,,,
dormitory,-,iHouse享想空間,24.96614,121.19326,,,,
dormitory,-,男九舍,24.97048,121.19564,,,,
dormitory,-,女十四舍,24.96549,121.19428,,,,
dormitory,-,中大會館,24.97083,121.19492,,,,
dormitory,-,男13舍,24.9666,121.19636,,,,
dormitory,-,男十一舍,24.96569,121.19495,,,,
dormitory,-,男七舍,24.9656,121.1955,,,,
dormitory,-,男六舍,24.96588,121.19571,,,,
dormitory,-,男十二舍,24.97128,121.19491,,,,
dormitory,-,男五舍,24.9661,121.19527,,,,
dormitory,-,女二舍,24.96641,121.19174,,,,
dormitory,-,女四舍,24.96619,121.19172,,,,
dormitory,-,女三舍,24.96626,121.19241,,,,
dormitory,-,單一舍,24.9661,121.19091,,,,
dormitory,-,單二舍,24.96654,121.19068,,,,
dormitory,-,單四舍,24.96677,121.19051,,,,
dormitory,-,校長宿舍,24.96941,121.19577,,,,
dormitory,-,曦望居,24.97108,121.19439,,,,
dormitory,女學生宿舍群,女一舍,24.9664,121.19248,,,,
dormitory,專項與國際住宿,國際學生宿舍,24.96615,121.19438,,,,
dormitory,男學生宿舍群,男三舍,24.96565,121.19333,,,,
garage,-,車庫,24.97014,121.19593,,,,
kindergarten,-,中大幼稚園,24.96603,121.19193,,,,
laboratory,-,土木品保中心,24.96921,121.1886,,,,
office,-,第二行政中心,24.96834,121.19356,,,,
sports,-,羽球館,24.96915,121.19079,,,,
sports,-,體育器材室,24.96936,121.19051,,,,
sports,-,依仁堂,24.96823,121.19083,,,,
sports,-,中大國民運動中心,24.96974,121.18995,,,,
sports,-,游泳池,24.96974,121.18995,,,,
university,-,志道樓,24.96567,121.19388,,,,
university,-,遊藝館,24.96631,121.19605,,,,
university,-,據德樓,24.96679,121.1959,,,,
university,-,資源回收及垃圾處理場,24.97006,121.19616,,,,
utility,-,高壓變電站,24.9673,121.19661,,,,
以傑出科學家命名之紀念性科學大樓，具備學術指標意義,-,科學四館,24.97133,121.1918,,,,
作為中大型演講與基礎大班授課之核心空間,LH,大講堂,24.9672,121.19589,,,,
傳統人文學科之核心基座，承載文學與哲學研究,A,文學一館,24.96934,121.19452,,,,
全校大一、大二學生進行通識教育與共同科目學習之集散地,O,綜教館(語言中心),24.97029,121.19284,,,,
半導體、雷射、光學元件開發與尖端光電科技研發,IL,國鼎光電大樓,24.97032,121.19032,,,,
商管學科之擴充教學與研究空間,I1,管理學院二館,24.97074,121.19358,,,,
土木與結構力學測試，進行破壞性結構震動與應力實驗,E5,大型力學實驗室,24.9688,121.18832,,,,
基礎科學的空間擴展與進階研究,-,科學二館(理學院大樓),24.97,121.19219,,,,
基礎科學的空間擴展與進階研究,-,科三館,24.97082,121.19213,,,,
大氣觀測、衛星遙測影像接收與海量數據處理運算,R2,太空及遙測研究中心,24.96788,121.18722,,,,
大氣觀測、電離層探測之大型相控陣列雷達，1985年建立,R2,中壢特高頻雷達 (VHF Radar),24.97342,121.19858,,,,
專司族群文化與在地社會學研究之特色建築,HK,客家學院,24.97089,121.1904,,,,
提供基礎工程實作、加工製造與車床訓練之空間,-,實習一廠,24.96808,121.18921,,,,
擴充之人文研究與語言訓練空間,C2,文學二館,24.96888,121.19451,,,,
整合人文與社會科學之行政與學術樞紐，提供跨領域論壇空間,LS,人文社會科學大樓,24.9693,121.19519,,,,
早期之文獻儲存中心，現可能轉型為特色館藏或閱覽室,-,總圖書館,24.96832,121.19426,,,,
早期工程學科教學與實驗，工學院之初始發展腹地,E,工程一館,24.96744,121.19262,,,,
校務決策與校園管理之運算大腦，各一級行政單位所在地,-,行政大樓,24.96829,121.19505,,,,
極微量氣體與懸浮微粒解析，配備高精度質譜分析儀器,-,大氣環境實驗室,24.96744,121.18547,,,,
標誌性之地球科學核心，象徵該校之歷史強項,S,地球科學院,24.96734,121.19452,,,,
標誌性之地球科學核心，象徵該校之歷史強項,S,地球科學院,24.96715,121.19449,,,,
機械工程專屬研究空間，需具備重型機具進出動線,E2,工程三館(機械館),24.96798,121.18857,,,,
淨零碳排、綠能科技研發，建築本身即為永續生活實驗室,-,教學研究綜合大樓,24.96839,121.19183,,,,
現代化之工學行政中樞與尖端實驗室總匯,E6,工程五館,24.96703,121.18738,,,,
現代化的數位資訊、期刊文獻與多媒體學習共享空間,L3,國鼎圖書資料館,24.97007,121.19441,,,,
理學院基礎教學，集中處理具備化學風險之基礎實驗,H2,理學院教學館(普化實驗大樓),24.97142,121.19224,,,,
環境與化學工程研究，需配置高等級排氣與廢液處理系統,E3,環工所,24.96837,121.18757,,,,
科學一館頂樓天文觀測設施,S,科一館天文望遠鏡,24.96757,121.19447,,,,
育成中心性質，提供從理論研究到原型打造的實作空間,-,前瞻科技研究中心,24.96652,121.18752,,,,
舉辦國際學術盛會、交響樂與劇團演出之國家級展演殿堂,-,大禮堂,24.96829,121.19238,,,,
軟體、弱電與精密電子設備之運算核心，資通訊研究中樞,E1,通訊系,24.96736,121.19173,,,,
軟體、弱電與精密電子設備之運算核心，資通訊研究中樞,E1,電機系,24.96752,121.1914,,,,
軟體、弱電與精密電子設備之運算核心，資通訊研究中樞,E1,資策會,24.96783,121.19166,,,,
高階商管教研樞紐，承載EMBA等核心管理學術運作,I,志希館,24.97024,121.19364,,,,
高階理學研究空間與進階研究節點,M,鴻經館,24.97084,121.19266,,,,
高階理學研究空間與進階研究節點,M,科五館(S5),24.97142,121.19264,,,,
